freq,psd_x,psd_y,psd_z,psd_xyz
128.0,1.816e+03,2.648e+03,3.257e+03,7.721e+03
129.5,1.258e+03,2.655e+03,1.808e+03,5.721e+03
131.0,1.002e+03,3.376e+03,1.288e+03,5.665e+03
132.5,8.448e+02,3.046e+03,1.046e+03,4.936e+03
134.0,6.873e+02,1.281e+03,6.383e+02,2.606e+03
135.5,7.581e+02,1.052e+03,7.775e+02,2.587e+03
137.0,8.011e+02,1.373e+03,1.153e+03,3.326e+03
138.5,9.279e+02,1.480e+03,1.397e+03,3.804e+03
140.0,1.058e+03,1.301e+03,1.500e+03,3.859e+03
141.5,1.204e+03,9.648e+02,1.426e+03,3.595e+03
143.1,1.647e+03,7.220e+02,1.323e+03,3.691e+03
144.6,2.134e+03,7.817e+02,1.324e+03,4.240e+03
146.1,2.233e+03,8.021e+02,1.221e+03,4.256e+03
147.6,2.119e+03,7.346e+02,1.089e+03,3.943e+03
149.1,1.836e+03,5.610e+02,9.342e+02,3.331e+03
150.6,1.615e+03,5.354e+02,8.825e+02,3.033e+03
152.1,1.297e+03,6.014e+02,8.201e+02,2.718e+03
153.6,1.076e+03,7.108e+02,8.015e+02,2.589e+03
155.1,9.307e+02,8.816e+02,8.523e+02,2.665e+03
156.6,9.482e+02,9.897e+02,9.696e+02,2.908e+03
158.1,1.197e+03,8.698e+02,1.025e+03,3.092e+03
159.6,1.326e+03,7.062e+02,9.527e+02,2.985e+03
161.1,1.287e+03,6.808e+02,9.206e+02,2.889e+03
162.6,1.292e+03,6.779e+02,9.859e+02,2.956e+03
164.1,1.303e+03,6.477e+02,1.081e+03,3.032e+03
165.6,1.448e+03,5.878e+02,1.193e+03,3.228e+03
167.1,1.589e+03,6.519e+02,1.526e+03,3.767e+03
168.7,1.715e+03,8.469e+02,1.988e+03,4.550e+03
170.2,1.770e+03,1.068e+03,2.234e+03,5.072e+03
171.7,1.890e+03,1.249e+03,2.183e+03,5.323e+03
173.2,2.053e+03,1.412e+03,2.049e+03,5.514e+03
174.7,2.000e+03,1.416e+03,1.847e+03,5.264e+03
176.2,1.956e+03,1.488e+03,1.758e+03,5.203e+03
177.7,2.064e+03,1.722e+03,1.879e+03,5.665e+03
179.2,2.175e+03,1.836e+03,1.921e+03,5.932e+03
180.7,2.138e+03,1.776e+03,1.855e+03,5.770e+03
182.2,2.179e+03,1.810e+03,1.848e+03,5.837e+03
183.7,2.235e+03,1.849e+03,1.853e+03,5.937e+03
185.2,2.184e+03,1.912e+03,1.835e+03,5.931e+03
186.7,2.113e+03,1.944e+03,1.802e+03,5.858e+03
188.2,1.968e+03,1.983e+03,1.778e+03,5.728e+03
189.7,1.964e+03,2.138e+03,1.840e+03,5.942e+03
191.2,2.053e+03,2.305e+03,1.992e+03,6.349e+03
192.7,2.070e+03,2.392e+03,2.086e+03,6.549e+03
194.3,2.030e+03,2.409e+03,2.123e+03,6.563e+03
195.8,1.923e+03,2.417e+03,2.169e+03,6.508e+03
197.3,1.796e+03,2.310e+03,2.175e+03,6.281e+03
198.8,1.593e+03,2.134e+03,2.164e+03,5.890e+03
