freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.330e+01,2.978e+02,1.966e+02,5.077e+02
1.5,3.823e+01,1.903e+02,1.217e+02,3.502e+02
3.0,4.290e+01,3.061e+01,2.363e+01,9.714e+01
4.5,4.698e+01,3.029e+02,2.300e+01,3.729e+02
6.0,4.545e+01,1.126e+03,2.440e+01,1.196e+03
7.5,4.619e+01,1.872e+03,2.303e+01,1.942e+03
9.0,4.426e+01,2.767e+03,2.155e+01,2.833e+03
10.5,4.065e+01,3.825e+03,2.226e+01,3.888e+03
12.0,3.915e+01,5.325e+03,2.299e+01,5.387e+03
13.6,5.033e+01,7.838e+03,2.206e+01,7.910e+03
15.1,7.940e+01,1.094e+04,3.580e+01,1.105e+04
16.6,6.284e+01,1.365e+04,6.702e+01,1.378e+04
18.1,5.309e+01,1.806e+04,1.014e+02,1.821e+04
19.6,1.191e+02,2.349e+04,1.324e+02,2.374e+04
21.1,2.237e+02,2.481e+04,1.305e+02,2.516e+04
22.6,2.226e+02,2.747e+04,1.427e+02,2.784e+04
24.1,2.758e+02,3.266e+04,1.960e+02,3.313e+04
25.6,2.187e+02,3.822e+04,3.243e+02,3.877e+04
27.1,9.050e+01,4.641e+04,4.944e+02,4.700e+04
28.6,1.056e+02,5.757e+04,6.763e+02,5.835e+04
30.1,1.651e+02,7.189e+04,9.341e+02,7.299e+04
31.6,2.598e+02,9.468e+04,1.685e+03,9.662e+04
33.1,1.134e+03,1.430e+05,6.099e+03,1.502e+05
34.6,3.479e+03,2.384e+05,2.189e+04,2.637e+05
36.1,3.971e+03,3.595e+05,5.230e+04,4.157e+05
37.6,3.324e+03,4.501e+05,8.731e+04,5.408e+05
39.2,3.460e+03,4.229e+05,1.081e+05,5.344e+05
40.7,6.017e+03,3.167e+05,1.113e+05,4.340e+05
42.2,1.028e+04,2.184e+05,1.062e+05,3.349e+05
43.7,1.545e+04,1.507e+05,9.555e+04,2.617e+05
45.2,2.090e+04,1.166e+05,9.017e+04,2.277e+05
46.7,2.294e+04,1.104e+05,1.004e+05,2.338e+05
48.2,1.492e+04,1.022e+05,1.201e+05,2.372e+05
49.7,7.325e+03,8.818e+04,1.463e+05,2.418e+05
51.2,2.966e+03,8.462e+04,2.163e+05,3.039e+05
52.7,2.343e+03,1.272e+05,4.143e+05,5.438e+05
54.2,2.974e+03,2.168e+05,6.636e+05,8.834e+05
55.7,3.082e+03,2.717e+05,7.079e+05,9.826e+05
57.2,4.260e+03,2.673e+05,5.869e+05,8.585e+05
58.7,5.184e+03,2.516e+05,4.838e+05,7.406e+05
60.2,6.154e+03,2.375e+05,4.257e+05,6.694e+05
61.7,7.504e+03,2.232e+05,3.722e+05,6.029e+05
63.2,7.314e+03,2.155e+05,3.288e+05,5.516e+05
64.8,6.270e+03,2.093e+05,2.958e+05,5.113e+05
66.3,5.951e+03,1.960e+05,2.612e+05,4.632e+05
67.8,5.664e+03,1.708e+05,2.216e+05,3.980e+05
69.3,4.521e+03,1.553e+05,1.926e+05,3.525e+05
70.8,2.749e+03,1.470e+05,1.749e+05,3.246e+05
72.3,1.745e+03,1.395e+05,1.601e+05,3.013e+05
73.8,1.411e+03,1.288e+05,1.469e+05,2.771e+05
75.3,1.338e+03,1.175e+05,1.379e+05,2.567e+05
76.8,1.334e+03,1.101e+05,1.357e+05,2.471e+05
78.3,1.298e+03,1.068e+05,1.383e+05,2.464e+05
79.8,1.124e+03,1.047e+05,1.414e+05,2.472e+05
81.3,8.992e+02,1.006e+05,1.364e+05,2.379e+05
82.8,8.147e+02,9.240e+04,1.233e+05,2.165e+05
84.3,8.993e+02,8.635e+04,1.178e+05,2.050e+05
85.8,1.090e+03,8.151e+04,1.124e+05,1.950e+05
87.3,1.188e+03,7.827e+04,1.072e+05,1.866e+05
88.8,1.147e+03,7.560e+04,1.013e+05,1.780e+05
90.3,1.109e+03,7.391e+04,9.603e+04,1.711e+05
91.9,1.152e+03,7.349e+04,9.193e+04,1.666e+05
93.4,1.056e+03,7.354e+04,8.863e+04,1.632e+05
94.9,8.847e+02,7.309e+04,8.639e+04,1.604e+05
96.4,8.390e+02,7.397e+04,8.782e+04,1.626e+05
97.9,9.547e+02,7.732e+04,9.038e+04,1.687e+05
99.4,9.742e+02,7.905e+04,9.057e+04,1.706e+05
100.9,9.001e+02,7.850e+04,9.002e+04,1.694e+05
102.4,8.766e+02,7.832e+04,9.142e+04,1.706e+05
103.9,1.172e+03,7.336e+04,8.451e+04,1.590e+05
105.4,2.137e+03,6.241e+04,6.972e+04,1.343e+05
106.9,3.650e+03,5.708e+04,6.453e+04,1.253e+05
108.4,5.415e+03,5.675e+04,6.932e+04,1.315e+05
109.9,6.684e+03,6.138e+04,7.822e+04,1.463e+05
111.4,7.619e+03,6.505e+04,8.175e+04,1.544e+05
112.9,7.594e+03,6.007e+04,7.386e+04,1.415e+05
114.4,6.462e+03,5.147e+04,6.242e+04,1.204e+05
115.9,6.108e+03,4.210e+04,5.146e+04,9.967e+04
117.5,5.724e+03,3.261e+04,4.148e+04,7.982e+04
119.0,4.416e+03,2.327e+04,3.122e+04,5.890e+04
120.5,3.464e+03,1.513e+04,2.229e+04,4.089e+04
122.0,2.689e+03,9.267e+03,1.530e+04,2.726e+04
123.5,2.125e+03,5.765e+03,1.013e+04,1.802e+04
125.0,1.921e+03,4.030e+03,6.634e+03,1.258e+04
126.5,2.077e+03,3.279e+03,4.791e+03,1.015e+04
