freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.740e+02,7.033e+01,4.660e+01,7.909e+02
1.5,4.225e+02,9.234e+01,8.371e+01,5.986e+02
3.0,8.439e+01,8.122e+01,9.579e+01,2.614e+02
4.5,3.351e+02,9.023e+01,1.103e+02,5.356e+02
6.0,1.192e+03,9.827e+01,1.096e+02,1.400e+03
7.5,1.958e+03,1.099e+02,1.072e+02,2.175e+03
9.0,2.785e+03,1.079e+02,1.043e+02,2.997e+03
10.5,3.852e+03,1.169e+02,1.147e+02,4.083e+03
12.1,5.156e+03,1.186e+02,1.164e+02,5.391e+03
13.6,6.662e+03,1.177e+02,1.196e+02,6.900e+03
15.1,8.236e+03,1.298e+02,1.201e+02,8.486e+03
16.6,1.017e+04,1.741e+02,1.238e+02,1.047e+04
18.1,1.311e+04,1.967e+02,1.399e+02,1.345e+04
19.6,1.650e+04,2.080e+02,1.325e+02,1.684e+04
21.1,1.924e+04,1.918e+02,1.261e+02,1.956e+04
22.6,2.369e+04,1.593e+02,1.344e+02,2.398e+04
24.1,2.957e+04,1.662e+02,1.517e+02,2.989e+04
25.6,3.221e+04,1.971e+02,1.521e+02,3.256e+04
27.1,3.570e+04,2.186e+02,1.489e+02,3.607e+04
28.6,4.238e+04,2.398e+02,1.610e+02,4.278e+04
30.1,5.128e+04,3.023e+02,1.845e+02,5.176e+04
31.6,6.455e+04,3.780e+02,2.292e+02,6.515e+04
33.1,8.177e+04,4.461e+02,3.409e+02,8.256e+04
34.6,1.091e+05,6.069e+02,6.306e+02,1.104e+05
36.2,1.459e+05,9.199e+02,1.232e+03,1.481e+05
37.7,2.026e+05,2.038e+03,3.276e+03,2.079e+05
39.2,2.687e+05,7.408e+03,7.043e+03,2.831e+05
40.7,3.282e+05,1.780e+04,9.780e+03,3.558e+05
42.2,4.097e+05,3.169e+04,1.053e+04,4.519e+05
43.7,5.376e+05,4.694e+04,9.984e+03,5.945e+05
