freq,psd_x,psd_y,psd_z,psd_xyz
45.2,7.442e+05,5.987e+04,9.384e+03,8.134e+05
46.7,1.058e+06,6.349e+04,8.862e+03,1.130e+06
48.2,1.420e+06,5.840e+04,9.175e+03,1.487e+06
49.7,1.738e+06,5.581e+04,1.172e+04,1.806e+06
51.2,2.029e+06,6.170e+04,1.484e+04,2.105e+06
52.7,2.310e+06,7.706e+04,1.782e+04,2.405e+06
54.2,2.260e+06,9.459e+04,1.905e+04,2.374e+06
55.7,1.819e+06,1.181e+05,1.615e+04,1.953e+06
57.2,1.158e+06,1.381e+05,9.038e+03,1.305e+06
58.7,6.334e+05,1.152e+05,5.846e+03,7.544e+05
60.3,4.321e+05,4.892e+04,9.453e+03,4.904e+05
61.8,3.261e+05,3.643e+04,8.118e+03,3.707e+05
63.3,2.897e+05,3.547e+04,7.688e+03,3.329e+05
64.8,2.694e+05,3.432e+04,7.699e+03,3.115e+05
66.3,2.491e+05,3.217e+04,7.419e+03,2.887e+05
67.8,2.243e+05,2.948e+04,6.729e+03,2.605e+05
69.3,2.086e+05,2.832e+04,6.752e+03,2.437e+05
70.8,2.027e+05,2.824e+04,7.525e+03,2.384e+05
72.3,1.979e+05,2.835e+04,8.660e+03,2.349e+05
73.8,1.955e+05,2.755e+04,9.965e+03,2.330e+05
75.3,1.930e+05,2.653e+04,1.101e+04,2.305e+05
76.8,1.883e+05,2.634e+04,1.201e+04,2.267e+05
78.3,1.844e+05,2.643e+04,1.265e+04,2.235e+05
79.8,1.775e+05,2.496e+04,1.200e+04,2.145e+05
81.3,1.677e+05,2.135e+04,1.038e+04,1.994e+05
82.9,1.552e+05,1.708e+04,8.700e+03,1.809e+05
84.4,1.521e+05,1.697e+04,9.532e+03,1.786e+05
85.9,1.521e+05,1.887e+04,1.157e+04,1.826e+05
87.4,1.515e+05,2.087e+04,1.385e+04,1.862e+05
88.9,1.479e+05,2.171e+04,1.506e+04,1.847e+05
90.4,1.421e+05,2.210e+04,1.591e+04,1.801e+05
91.9,1.393e+05,2.341e+04,1.717e+04,1.799e+05
93.4,1.377e+05,2.437e+04,1.709e+04,1.791e+05
94.9,1.345e+05,2.475e+04,1.710e+04,1.764e+05
96.4,1.316e+05,2.445e+04,1.743e+04,1.734e+05
97.9,1.260e+05,2.309e+04,1.706e+04,1.661e+05
99.4,1.165e+05,2.147e+04,1.713e+04,1.551e+05
100.9,1.060e+05,1.979e+04,1.663e+04,1.424e+05
102.4,9.679e+04,1.813e+04,1.671e+04,1.316e+05
103.9,9.324e+04,1.940e+04,1.861e+04,1.312e+05
105.4,9.608e+04,2.143e+04,2.031e+04,1.378e+05
107.0,1.100e+05,2.603e+04,2.346e+04,1.595e+05
108.5,1.265e+05,3.237e+04,2.753e+04,1.864e+05
110.0,1.443e+05,4.213e+04,3.351e+04,2.200e+05
111.5,1.640e+05,5.907e+04,4.485e+04,2.679e+05
113.0,1.840e+05,9.076e+04,7.165e+04,3.464e+05
114.5,2.057e+05,1.302e+05,1.134e+05,4.493e+05
116.0,2.294e+05,1.610e+05,1.552e+05,5.455e+05
117.5,2.462e+05,1.927e+05,1.967e+05,6.355e+05
119.0,2.544e+05,2.236e+05,2.346e+05,7.126e+05
120.5,2.700e+05,2.610e+05,2.848e+05,8.158e+05
122.0,2.918e+05,3.071e+05,3.423e+05,9.412e+05
123.5,3.111e+05,3.502e+05,3.920e+05,1.053e+06
125.0,3.251e+05,3.769e+05,4.222e+05,1.124e+06
126.5,3.219e+05,3.788e+05,4.201e+05,1.121e+06
128.0,2.827e+05,3.308e+05,3.648e+05,9.782e+05
129.6,2.527e+05,3.094e+05,3.387e+05,9.008e+05
131.1,2.445e+05,3.116e+05,3.366e+05,8.927e+05
132.6,1.707e+05,2.172e+05,2.285e+05,6.164e+05
134.1,4.504e+04,5.088e+04,4.463e+04,1.405e+05
135.6,2.777e+04,2.561e+04,1.526e+04,6.863e+04
137.1,3.666e+04,3.200e+04,2.084e+04,8.950e+04
138.6,4.762e+04,3.979e+04,2.801e+04,1.154e+05
140.1,5.920e+04,4.668e+04,3.379e+04,1.397e+05
141.6,6.952e+04,5.239e+04,3.772e+04,1.596e+05
143.1,7.791e+04,5.751e+04,4.074e+04,1.762e+05
144.6,8.427e+04,6.132e+04,4.375e+04,1.893e+05
146.1,9.269e+04,6.579e+04,4.774e+04,2.062e+05
147.6,9.594e+04,6.802e+04,4.942e+04,2.134e+05
149.1,9.682e+04,6.855e+04,5.028e+04,2.157e+05
150.6,9.725e+04,6.770e+04,5.105e+04,2.160e+05
152.1,9.726e+04,6.599e+04,5.052e+04,2.138e+05
153.7,1.007e+05,6.561e+04,4.991e+04,2.162e+05
155.2,1.004e+05,6.245e+04,4.733e+04,2.102e+05
156.7,9.525e+04,5.844e+04,3.973e+04,1.934e+05
158.2,9.145e+04,5.528e+04,3.578e+04,1.825e+05
159.7,8.989e+04,5.299e+04,3.264e+04,1.755e+05
161.2,8.448e+04,4.783e+04,2.824e+04,1.605e+05
162.7,7.372e+04,4.081e+04,2.242e+04,1.369e+05
164.2,6.638e+04,3.571e+04,1.805e+04,1.201e+05
165.7,5.853e+04,3.073e+04,1.404e+04,1.033e+05
167.2,5.116e+04,2.650e+04,1.054e+04,8.820e+04
168.7,4.517e+04,2.300e+04,8.210e+03,7.637e+04
170.2,3.852e+04,1.926e+04,6.106e+03,6.388e+04
171.7,3.063e+04,1.541e+04,4.424e+03,5.047e+04
173.2,2.406e+04,1.400e+04,3.755e+03,4.182e+04
174.7,2.130e+04,1.509e+04,3.608e+03,3.999e+04
176.2,1.942e+04,1.597e+04,3.705e+03,3.910e+04
177.8,1.240e+04,1.110e+04,3.000e+03,2.650e+04
179.3,7.169e+03,4.969e+03,2.036e+03,1.417e+04
180.8,6.713e+03,4.345e+03,2.256e+03,1.331e+04
182.3,7.237e+03,5.062e+03,2.794e+03,1.509e+04
183.8,8.066e+03,5.732e+03,3.628e+03,1.743e+04
185.3,8.226e+03,5.761e+03,3.964e+03,1.795e+04
186.8,8.301e+03,5.747e+03,3.931e+03,1.798e+04
188.3,8.447e+03,5.851e+03,4.050e+03,1.835e+04
189.8,8.284e+03,5.852e+03,4.125e+03,1.826e+04
191.3,8.033e+03,5.933e+03,4.080e+03,1.805e+04
192.8,7.702e+03,5.952e+03,4.165e+03,1.782e+04
194.3,7.427e+03,5.895e+03,4.249e+03,1.757e+04
195.8,7.422e+03,5.815e+03,4.630e+03,1.787e+04
197.3,7.339e+03,5.687e+03,4.559e+03,1.758e+04
198.8,7.324e+03,5.560e+03,4.602e+03,1.749e+04
